raw	mapped
GSK3-ALPHA-BETA	GSK3A|2931|P49840|A0A7I2V2P8|A0A7I2V2H8|A0A7I2YQU7|A0A7I2V627|A0A7I2V3M8|A0A7I2YQM8|A0A7I2V5Q2|A0A7I2YQA1|A0A7I2V4Y3|A0A7I2V3W5|A0A7I2V442|A0A7I2YQA9|A0A7I2V511|A0A7I2V2Q4|A0A7I2V4D4|A0A7I2V5D7|A0A7I2V5P6|A0A7I2V485|A0A7I2YQ76|A0A7I2V3H9|A0A7I2V4Z1|A8MT37|A0A7I2V2P9|A0A7I2YQJ1|A0A7I2V5S8|A0A7I2V5B3|A0A7I2V345|A0A7I2V2J2|A0A7I2V2P0|A0A7I2YQV9|A0A7I2V418|A0A7I2V341|A0A7I2V379|A0A7I2V4Q6|A0A7I2V553|ENSG00000105723|GSK3B|2932|P49841|A0A3B3ITW1|Q6FI27|A0A7I2V432|A0A7I2V3N7|A0A7I2V2N4|A0A7I2V2V4|A0A7I2V4X3|A0A7I2V3K8|A0A7I2V3A4|A0A7I2V2K7|A0A7I2V2U4|A0A7I2V3D8|A0A7I2V3G9|A0A7I2V2I5|A0A7I2V4F3|A0A7I2V3Z5|A0A7I2YQ81|A0A7I2V3T3|A0A7I2YQK0|A0A7I2YQK2|A0A7I2V606|A0A7I2V4X2|A0A7I2V5G5|A0A7I2YQU1|A0A7I2YQB0|A0A7I2V5M2|A0A7I2V5P4|A0A7I2V4W7|A0A7I2V589|A0A7I2V441|A0A7I2YQG6|A0A7I2V4G2|A0A7I2V2T2|A0A7I2V626|A0A7I2V5B5|A0A7I2V5K9|A0A7I2V2Y0|A0A7I2V3S5|A0A7I2V675|A0A7I2V3J4|ENSG00000082701
HER2	ERBB2|2064|P04626|F5H1T4|B4DTR1|X5DNK3|J3QLU9|J3KTI5|J3KRI9|J3QRX1|J3QRJ7|J3QL83|J3QLV2|ENSG00000141736
HER3	ERBB3|2065|P21860|O75812|B3KWG5|B4DGQ7|F8VRI5|F8VRL0|A0A2R8Y6T4|F8VW48|F8VYK4|ENSG00000065361
JNK	MAPK8|5599|P45983|C9J762|A1L4K2|C9JWQ4|A0A3B3IRW7|ENSG00000107643|MAPK9|5601|P45984|D7R528|D7R525|E5RJ57|J3KNK1|ENSG00000050748|MAPK10|5602|P53779|A0A286YEQ0|A0A286YF97|D6RJF9|F8W9R5|Q499Y8|A0A1W2PPW1|A0A286YFB7|A0A1P0B7D2|A0A286YES0|A0A1W2PPM4|A0A286YF02|A8MPV1|A0A286YEX7|A0A1W2PQX4|D6RCB1|A0A286YF43|A0A286YFC3|A0A1W2PRF2|A0A286YFE9|A0A286YF04|A0A286YF80|D6RAU3|A0A286YFA3|A0A286YFC0|D6R9C1|A0A1W2PPZ3|A0A1W2PRZ2|D6RDG1|D6RFX8|A0A286YF83|A0A286YEV3|A0A286YFD9|A0A1W2PRG9|A0A286YF95|A0A286YEW9|A0A286YF53|A0A286YFJ6|A0A286YFH4|A0A286YF85|A0A286YFJ4|A0A286YFD7|A0A286YFI3|A0A286YF62|A0A286YF35|D6RFZ7|A0A286YEN5|A0A286YFK3|A0A286YEW4|D6RC26|A0A286YF19|A0A286YEQ7|A0A286YFJ0|A0A286YFN2|A0A286YEY0|A0A286YEZ1|D6RAJ0|A0A286YFB6|A0A286YFE2|A0A286YFM6|A0A286YFA7|D6RBH2|A0A286YEV8|A0A286YEV5|A0A286YES9|A0A286YFA6|A0A1W2PQ03|A0A286YES8|A0A286YEY2|ENSG00000109339
MAPK	MAPK1|5594|P28482|Q499G7|Q1HBJ4|ENSG00000100030|MAPK3|5595|P27361|Q9BWJ1|L7RXH5|A1QJE5|E9PJF0|H0YDH9|E9PBK7|E9PQW4|E9PRH7|H0YEX6|ENSG00000102882
MEK1	MAP2K1|5604|Q02750|A4QPA9|B4DFY5|A0A8I5KYS7|A0A8I5QJL9|A0A8I5QJP8|A0A8I5QJC1|A0A8I5KYB4|H3BRW9|A0A8I5KVF6|A0A8I5KXN4|A0A8I5KRX5|A0A8I5QJ96|ENSG00000169032
MTOR	MTOR|2475|P42345|A0A8V8TRG9|A0A8V8TQ52|A0A8V8TQM6|A0A8V8TQP2|A0A8V8TR74|A0A8V8TQN3|ENSG00000198793
NDRG1	NDRG1|10397|Q92597|E5RIR1|Q8N959|A0A6Q8PHF2|E7ESM1|A0A6Q8PF28|E5RG99|A0A6Q8PGJ1|A0A6Q8PFB3|A0A6Q8PF16|E5RIV1|E5RIM2|A0A6Q8PGF1|E5RJY1|A0A6Q8PF71|E5RI76|A0A6Q8PFR8|E5RGG6|E5RGM5|E5RJ98|A0A7I2ST14|A0A6Q8PFP2|E5RH82|E5RK17|A0A6Q8PGD3|A0A6Q8PF06|A0A6Q8PHI0|A0A6Q8PFG2|ENSG00000104419
NF-KB-P65	RELA|5970|Q04206|Q2TAM5|A0A087X0W8|E9PKV4|E9PMD5|E9PNK5|E9PM47|E9PRX2|E9PI38|E9PNV4|E9PSE4|E9PJZ9|H0YCB4|E9PQS6|E9PKH5|E9PJR1|ENSG00000173039
P27	CDKN1B|1027|P46527|H7C2T1|Q6I9V6|E7ES52|ENSG00000111276
P38	MAPK14|1432|Q16539|B4E0K5|L7RSM2|A0ABB0MVC4|B5TY33|E7EX54|A0ABB0MVD3|H7C4E2|ENSG00000112062
P70S6K	RPS6KB1|6198|P23443|K7ER06|K7EIM2|K7EMM2|ENSG00000108443
P90RSK	RPS6KA1|6195|Q15418|Q5SVM6|A6NND1|E9PGT3|Q5SVM7|E9PMM7|E9PPC1|E9PPN6|E9PAN7|ENSG00000281877|ENSG00000117676|RPS6KA2|6196|Q15349|F2Z2J1|B7Z3B5|X5D337|D6RD75|D6R910|A0AAQ5BI00|D6RA62|D6RHW7|D6RE03|ENSG00000071242|RPS6KA3|6197|P51812|B4DG22|B7ZB17|B1AXG1|A0A384MDW3|A0A2R8YGB7|A0A2R8Y7S9|A0A2R8Y603|B1AXG2|ENSG00000177189|RPS6KA4|8986|O75676|B4DPV1|E9PJN1|A0PJF8|A0A0A6YYC0|E9PKU3|ENSG00000162302
PDK1	PDPK1|5170|O15530|H3BQA3|E9PER6|H3BPR5|H3BNV5|H3BQ10|H3BPW1|ENSG00000140992
PEA15	PEA15|8682|Q15121|B1AKZ5|B1AKZ4|Q96FS5|ENSG00000162734
PKC-ALPHA	PRKCA|5578|P17252|J3KRN5|Q7Z727|L7RSM7|J3KN97|ENSG00000154229
PKC-DELTA	PRKCD|5580|Q05655|A0A494C1T7|B4DFV1|C9K0E3|C9JZU8|A0A494BZX2|C9J9P1|A0A8V8TMH8|A0A494C125|ENSG00000163932
PKC-PAN-BETAII	PRKCB|5579|P05771|I3L148|I3L1Z0|H3BV73|ENSG00000166501
PRAS40	AKT1S1|84335|Q96B36|H9KV91|M0R2V8|ENSG00000204673
RB	RB1|5925|P06400|A0A3B3IS71|A0A2R8YFL6|Q92728|A0AAQ5BH04|A0A2R8Y743|A0AAQ5BH01|A0AAQ5BH24|A0AAQ5BH52|ENSG00000139687
RICTOR	RICTOR|253260|Q6R327|D6R9S6|A0AA34QVX7|A0AA34QVL6|ENSG00000164327
S6	RPS6|6194|P62753|A2A3R5|A2A3R6|A2A3R7|ENSG00000137154
SRC	SRC|6714|P12931|A0A8I5KYU4|ENSG00000291971|ENSG00000197122
STAT3	STAT3|6774|P40763|A0A7I2V395|A0A7I2V4C8|A0A7I2V4R3|A0A7I2YQD2|A0A7I2V552|A0A7I2YQR5|A0A7I2V444|A0A7I2V4R2|A0A7I2V5N9|A0A7I2V2T1|A0A7I2V4F6|A0A7I2YQI1|A0A7I2V2G1|G8JLH9|A0A7I2V3V0|ENSG00000168610
TAFAZZIN	TAZ
TAZ	WWTR1|25937|Q9GZV5|C9J588|H7C4Q0|C9JR84|C9JQS8|C9J038|C9J337|H7C4Z7|ENSG00000018408
YAP	YAP1|10413|P46937|H0YCI3|K0KVU2|ENSG00000137693
YB-1	YBX1|4904|P67809|C9J5V9|H0Y449|ENSG00000065978
